"=""Full report""","=""C/S TAC No.""","=""Beacon Model Name""","=""Manufacturer""","=""Beacon type""","=""In Prod.""","=""Last Rev. Date""","=""Issue date""","=""class""","=""duration""","=""transmit frequency""","=""nav int/ext"""
"=""report""","=""11""","=""406 M""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""12""","=""406 H""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""FF EPIRB""","=""no""","=""1992-11-09""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""13""","=""Kannad 406 S""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""13""","=""Kannad 406 S""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""14""","=""Kannad 406 F""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""14""","=""Kannad 406 F""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""15""","=""JQE-2A""","=""Japan Radio Co. Ltd.""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""16""","=""M 02""","=""ELTA SA (not in business - see See ECA Group)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""17""","=""RLB-23""","=""ACR Electronics Inc.""","=""FF EPIRB""","=""""","=""0000-00-00""","=""1989-07-14""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""18""","=""RLB-24""","=""ACR Electronics Inc.""","=""Non FF EPIRB""","=""""","=""0000-00-00""","=""1989-07-14""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""19""","=""948""","=""The Guest Company Inc. (not in business)""","=""FF EPIRB""","=""no""","=""1992-07-10""","=""1989-07-14""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""20""","=""A06""","=""ELTA SA (not in business - see See ECA Group)""","=""ELT (Auto)""","=""no""","=""1995-08-14""","=""1989-10-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""20""","=""S06""","=""ELTA SA (not in business - see See ECA Group)""","=""ELT (Man)""","=""no""","=""1995-08-14""","=""1989-10-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""21""","=""JQE-2A""","=""Japan Radio Co. Ltd.""","=""FF EPIRB""","=""""","=""0000-00-00""","=""1989-10-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""22""","=""Kannad 406 S""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1989-10-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""23""","=""Kannad 406 F""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1989-10-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""24""","=""M 04""","=""ELTA SA (not in business - see See ECA Group)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1989-10-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""25""","=""406 P(Y)""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1989-10-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""26""","=""406 M(Y)""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1989-10-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""27""","=""406 H(Y)""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1989-10-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""28""","=""RT 161M""","=""Nova Marine Systems Ltd. (not in busines, see Orolia Limited,UK)""","=""FF EPIRB""","=""yes""","=""1994-06-27""","=""1989-10-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""29""","=""948""","=""The Guest Company Inc. (not in business)""","=""Non FF EPIRB""","=""no""","=""1992-07-10""","=""1989-10-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""30""","=""JQE-2A""","=""Japan Radio Co. Ltd.""","=""FF EPIRB""","=""""","=""0000-00-00""","=""1990-01-08""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""31""","=""RT 160""","=""Nova Marine Systems Ltd. (not in busines, see Orolia Limited,UK)""","=""Non FF EPIRB""","=""no""","=""1994-06-27""","=""1990-02-16""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""32""","=""RT 161""","=""Nova Marine Systems Ltd. (not in busines, see Orolia Limited,UK)""","=""Non FF EPIRB""","=""no""","=""1994-06-27""","=""1990-02-16""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""33""","=""CPT 600N""","=""Caledonian Airborne Systems Ltd.""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1990-04-12""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""34""","=""MT06""","=""ELTA SA (not in business - see See ECA Group)""","=""Non FF EPIRB""","=""no""","=""1995-08-14""","=""1990-04-12""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""35""","=""Kannad 406 FH""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1990-04-30""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""36""","=""ARB-MK""","=""Musson-Exim Co.(not in business)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1990-08-02""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""37""","=""C-2277""","=""Toyo Communication Equipment Inc. Co (not in business, see Mitsubishi Electric TOKKI System Corporation, Japan)""","=""FF EPIRB""","=""no""","=""1992-07-10""","=""1990-08-02""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""38""","=""L-1000""","=""MPR Teltech Ltd. (not in business - see ACR Electronics, USA)""","=""PLB""","=""""","=""0000-00-00""","=""1990-08-20""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""39""","=""Kannad 406 S""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""Non FF EPIRB""","=""no""","=""1998-03-11""","=""1990-11-05""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""40""","=""Kannad 406 F""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""FF EPIRB""","=""no""","=""1998-03-11""","=""1990-11-05""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""41""","=""Kannad 406 FH""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""FF EPIRB""","=""no""","=""1998-03-11""","=""1990-11-05""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""42""","=""Kannad 406 ATP""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""ELT (Auto)""","=""no""","=""0000-00-00""","=""1990-11-05""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""43""","=""SATFIND-406 M""","=""MPR Teltech Ltd. (not in business - see ACR Electronics, USA)""","=""FF / Non FF EPIRB""","=""""","=""1995-09-14""","=""1990-11-16""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""44""","=""H-06""","=""ELTA SA (not in business - see See ECA Group)""","=""ELT (Auto)""","=""yes""","=""0000-00-00""","=""1991-03-14""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""45""","=""SEVT-406""","=""Bitova Electronic Co. (not in business)""","=""FF EPIRB""","=""""","=""0000-00-00""","=""1991-03-14""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""46""","=""ARB-PK""","=""Public Joint Stock Company “Yaroslavl Radioworks” (PJSC YARW)""","=""PLB""","=""yes""","=""0000-00-00""","=""1991-03-14""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""47""","=""ARB-PK1""","=""Public Joint Stock Company “Yaroslavl Radioworks” (PJSC YARW)""","=""PLB""","=""no""","=""0000-00-00""","=""1991-03-14""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""48""","=""ARB-PK10""","=""Public Joint Stock Company “Yaroslavl Radioworks” (PJSC YARW)""","=""PLB""","=""yes""","=""0000-00-00""","=""1991-03-14""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""49""","=""JQE-2A""","=""Japan Radio Co. Ltd.""","=""FF EPIRB""","=""""","=""0000-00-00""","=""1991-04-05""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""50""","=""Tron 30 S mkII""","=""Jotron AS ( former - Jotron Electronics A.S.)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1991-04-15""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""51""","=""P-07""","=""ELTA SA (not in business - see See ECA Group)""","=""PLB""","=""no""","=""0000-00-00""","=""1991-04-15""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""52""","=""ARB-PC""","=""Musson-Exim Co.(not in business)""","=""PLB""","=""""","=""0000-00-00""","=""1991-04-27""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""53""","=""LDT 61""","=""McMurdo Ltd (not in business, see Orolia Limited,UK)""","=""FF EPIRB""","=""no""","=""1993-03-26""","=""1991-09-30""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""53""","=""LDT 62""","=""McMurdo Ltd (not in business, see Orolia Limited,UK)""","=""Non FF EPIRB""","=""no""","=""1993-03-26""","=""1991-09-30""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""54""","=""406 PF(Y)""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1991-10-04""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""55""","=""Honeywell ECB""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1991-12-06""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""56""","=""REB-22""","=""Taiyo Musen Co. Ltd. (not in business - see Mitsubishi Electric TOKKI Systems Corporation, Japan)""","=""FF EPIRB""","=""no""","=""2001-08-08""","=""1991-12-06""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""57""","=""952-02""","=""The Guest Company Inc. (not in business)""","=""Non FF EPIRB""","=""no""","=""1996-04-19""","=""1991-12-06""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""58""","=""Avmar M1-406""","=""Aviation and Marine (not in business)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1992-02-06""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""59""","=""ARB-MKS Afalina""","=""Public Joint Stock Company “Yaroslavl Radioworks” (PJSC YARW)""","=""FF EPIRB""","=""yes""","=""0000-00-00""","=""1992-02-06""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""60""","=""ARB-PKE Excom""","=""Public Joint Stock Company “Yaroslavl Radioworks” (PJSC YARW)""","=""PLB""","=""no""","=""0000-00-00""","=""1992-02-06""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""61""","=""ARB-M""","=""Musson-Exim Co.(not in business)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1992-02-06""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""62""","=""Musson-501""","=""Musson-Exim Co.(not in business)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1992-04-16""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""62""","=""Musson-501""","=""Musson-Exim Co.(not in business)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1992-04-16""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""63""","=""406 MH(Y)""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1992-05-28""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""64""","=""406 M(Y)E""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1992-05-28""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""65""","=""406 MH(Y)E""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1992-05-28""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""66""","=""Tron 30 S mkII""","=""Jotron AS ( former - Jotron Electronics A.S.)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1992-07-22""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""67""","=""ELT 110-406""","=""Artex Aircraft Supplies, Inc (not in business, see ACR Electronics )""","=""ELT (Auto)""","=""no""","=""2000-06-13""","=""1992-10-05""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""68""","=""COSPAS-ARB-MK1""","=""Musson-Exim Co.(not in business)""","=""FF EPIRB""","=""""","=""0000-00-00""","=""1992-10-12""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""69""","=""M-05 Sealife""","=""ELTA SA (not in business - see See ECA Group)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1992-11-09""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""69""","=""M-05 Sealife""","=""ELTA SA (not in business - see See ECA Group)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1992-11-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""71""","=""SATFIND-406 Pocket PLB""","=""Northern Airborne Technology Ltd.(not in business)""","=""PLB""","=""""","=""1996-07-26""","=""1992-11-16""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""72""","=""RT260""","=""Nova Marine Systems Ltd. (not in busines, see Orolia Limited,UK)""","=""Non FF EPIRB""","=""no""","=""1997-12-04""","=""1992-11-20""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""73""","=""952-01""","=""The Guest Company Inc. (not in business)""","=""FF EPIRB""","=""no""","=""1996-04-19""","=""1992-11-30""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""74""","=""ELT 96 - Amendment J""","=""Air Precision""","=""ELT (Auto)""","=""yes""","=""2010-04-13""","=""1992-12-09""","=""2""","=""short""","=""406.025/406.028""","=""N/A"""
"=""report""","=""74""","=""ELT 97 - Amendment D""","=""Air Precision""","=""ELT (Auto)""","=""yes""","=""2010-04-13""","=""1992-12-09""","=""2""","=""short""","=""406.025/406.028""","=""N/A"""
"=""report""","=""74""","=""ELT 96""","=""Air Precision""","=""ELT (Auto)""","=""""","=""2010-04-13""","=""1992-12-09""","=""2""","=""short""","=""406.025/406.028""","=""N/A"""
"=""report""","=""74""","=""ELT 96 S""","=""Air Precision""","=""ELT (Man)""","=""""","=""2010-04-13""","=""1992-12-09""","=""2""","=""short""","=""406.025/406.028""","=""N/A"""
"=""report""","=""74""","=""ELT 97""","=""Air Precision""","=""ELT (Auto)""","=""""","=""2010-04-13""","=""1992-12-09""","=""2""","=""short""","=""406.025/406.028""","=""N/A"""
"=""report""","=""75""","=""406-2A""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""FF EPIRB""","=""no""","=""1997-09-24""","=""1992-12-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""75""","=""406-2M""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""Non FF EPIRB""","=""no""","=""1997-09-24""","=""1992-12-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""76""","=""952-21""","=""Litton Special Devices (not in business)""","=""ELT (Auto)""","=""yes""","=""0000-00-00""","=""1992-12-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""76""","=""952-23""","=""Litton Special Devices (not in business)""","=""ELT (Man)""","=""""","=""0000-00-00""","=""1992-12-09""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""77""","=""TP 2""","=""SKANTI Ltd. (not in business)""","=""FF EPIRB""","=""no""","=""1995-12-04""","=""1993-02-24""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""77""","=""TP 2""","=""SKANTI Ltd. (not in business)""","=""FF EPIRB""","=""no""","=""1995-12-04""","=""1993-02-24""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""78""","=""SATFIND-406 Survival EPIRB""","=""Northern Airborne Technology Ltd.(not in business)""","=""FF / Non FF EPIRB""","=""""","=""1996-07-26""","=""1993-08-11""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""79""","=""MO56""","=""ELTA SA (not in business - see See ECA Group)""","=""FF EPIRB""","=""no""","=""1995-08-14""","=""1993-08-11""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""80""","=""JQE-3A""","=""Japan Radio Co. Ltd.""","=""FF EPIRB""","=""yes""","=""2008-05-21""","=""1993-12-03""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""80""","=""JQE-3A-J""","=""Japan Radio Co. Ltd.""","=""FF EPIRB""","=""no""","=""2008-05-21""","=""1993-12-03""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""81""","=""ENASAT-406 A""","=""ENA Telecomunicaciones S.A.(not in business)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1994-01-31""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""81""","=""ENASAT-406 M""","=""ENA Telecomunicaciones S.A.(not in business)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1994-01-31""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""82""","=""RLB 23E1""","=""ACR Electronics Inc.""","=""FF EPIRB""","=""""","=""0000-00-00""","=""1994-05-03""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""83""","=""RLB-27""","=""ACR Electronics Inc.""","=""FF EPIRB""","=""""","=""1995-06-07""","=""1994-10-14""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""83""","=""RLB-27""","=""ACR Electronics Inc.""","=""FF EPIRB""","=""""","=""1995-06-07""","=""1994-10-14""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""84""","=""RLB-28""","=""ACR Electronics Inc.""","=""Non FF EPIRB""","=""no""","=""1995-06-07""","=""1994-10-14""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""84""","=""RLB-28""","=""ACR Electronics Inc.""","=""Non FF EPIRB""","=""no""","=""1995-06-07""","=""1994-10-14""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""85""","=""Locat LDT61A""","=""McMurdo Ltd (not in business, see Orolia Limited,UK)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1994-11-16""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""85""","=""Locat LDT62A""","=""McMurdo Ltd (not in business, see Orolia Limited,UK)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1994-11-16""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""86""","=""REB-23-01""","=""Taiyo Musen Co. Ltd. (not in business - see Mitsubishi Electric TOKKI Systems Corporation, Japan)""","=""FF EPIRB""","=""no""","=""2001-08-08""","=""1994-11-16""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""86""","=""REB-23-02""","=""Taiyo Musen Co. Ltd. (not in business - see Mitsubishi Electric TOKKI Systems Corporation, Japan)""","=""Non FF EPIRB""","=""no""","=""2001-08-08""","=""1994-11-16""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""87""","=""REB-24""","=""Taiyo Musen Co. Ltd. (not in business - see Mitsubishi Electric TOKKI Systems Corporation, Japan)""","=""Non FF EPIRB""","=""no""","=""2001-08-08""","=""1994-11-16""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""88""","=""RESCU 406""","=""Honeywell Aerospace Canada""","=""ELT (Man)""","=""yes""","=""0000-00-00""","=""1995-05-31""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""89""","=""P076""","=""ELTA SA (not in business - see See ECA Group)""","=""PLB""","=""no""","=""0000-00-00""","=""1995-08-14""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""90""","=""ADELT CPT 609""","=""Caledonian Airborne Systems Ltd.""","=""ELT (Auto)""","=""no""","=""0000-00-00""","=""1995-10-17""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""91""","=""Kannad 406 ATP-M""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""ELT (Auto)""","=""no""","=""0000-00-00""","=""1995-10-17""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""91""","=""Kannad 406 ATP""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""ELT (Auto)""","=""no""","=""0000-00-00""","=""1995-10-17""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""92""","=""Kannad 406 m""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""PLB / Non FF EPIRB""","=""no""","=""2002-11-18""","=""1995-11-17""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""92""","=""Kannad 406 m""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""PLB / Non FF EPIRB""","=""no""","=""2002-11-18""","=""1995-11-17""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""93""","=""SATFIND-406 ELT Model A-1000""","=""Northern Airborne Technology Ltd.(not in business)""","=""ELT (Auto)""","=""""","=""1996-10-02""","=""1996-01-24""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""94""","=""EB-10""","=""Saracom Co., Ltd.""","=""FF EPIRB""","=""yes""","=""2003-01-24""","=""1996-09-02""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""95""","=""TRON 40S""","=""Jotron AS ( former - Jotron Electronics A.S.)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1997-02-11""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""96""","=""SM-511""","=""State Designer's Bureau of Radiocommunication (not in business)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1997-02-11""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""97""","=""503-1""","=""Techtest Ltd.""","=""ELT (Auto)""","=""yes""","=""2008-04-10""","=""1997-07-15""","=""1""","=""long""","=""406.025 MHz""","=""Ext"""
"=""report""","=""97""","=""ELT503-3""","=""Techtest Ltd.""","=""ELT (Auto)""","=""yes""","=""2008-04-10""","=""1997-07-15""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""97""","=""ELT503-1""","=""Techtest Ltd.""","=""ELT (Auto)""","=""yes""","=""2008-04-10""","=""1997-07-15""","=""1""","=""short""","=""406.025 MHz""","=""Ext"""
"=""report""","=""98""","=""TRON 45 SX""","=""Jotron AS ( former - Jotron Electronics A.S.)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1997-10-25""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""99""","=""TRON 45 S""","=""Jotron AS ( former - Jotron Electronics A.S.)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1997-10-29""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
